    nm         	nN
2.826773e+002	-9.863450e-002
2.824113e+002	-1.002515e-001
2.820359e+002	-1.099532e-001
2.818574e+002	-1.051023e-001
2.817883e+002	-9.216666e-002
2.813035e+002	-1.099532e-001
2.812781e+002	-9.378362e-002
2.811653e+002	-8.408187e-002
2.807680e+002	-9.540058e-002
2.805020e+002	-9.701754e-002
2.803016e+002	-9.378362e-002
2.799699e+002	-1.002515e-001
2.797695e+002	-9.701754e-002
2.796348e+002	-8.893274e-002
2.794344e+002	-8.569882e-002
2.791903e+002	-8.569882e-002
2.786617e+002	-1.067193e-001
2.785269e+002	-9.863450e-002
2.783703e+002	-9.216666e-002
2.782574e+002	-8.246491e-002
2.776851e+002	-1.067193e-001
2.774410e+002	-1.067193e-001
2.774594e+002	-8.731579e-002
2.770840e+002	-9.701754e-002
2.767523e+002	-1.034854e-001
2.765738e+002	-9.863450e-002
2.762640e+002	-1.034854e-001
2.761949e+002	-9.054970e-002
2.759289e+002	-9.216666e-002
2.755535e+002	-1.018684e-001
2.753312e+002	-1.002515e-001
2.750652e+002	-1.018684e-001
2.748648e+002	-9.863450e-002
2.747519e+002	-8.893274e-002
2.743546e+002	-1.002515e-001
2.740011e+002	-1.083362e-001
2.738007e+002	-1.051023e-001
2.735785e+002	-1.034854e-001
2.734437e+002	-9.540058e-002
2.732433e+002	-9.216666e-002
2.728241e+002	-1.051023e-001
2.726457e+002	-1.002515e-001
2.724452e+002	-9.701754e-002
2.719823e+002	-1.131871e-001
2.718257e+002	-1.067193e-001
2.714284e+002	-1.180380e-001
2.714468e+002	-9.863450e-002
2.711370e+002	-1.034854e-001
2.709367e+002	-1.002515e-001
2.707581e+002	-9.540058e-002
2.704484e+002	-1.002515e-001
2.701823e+002	-1.018684e-001
2.701351e+002	-8.731579e-002
2.697816e+002	-9.540058e-002
2.696468e+002	-8.731579e-002
2.690964e+002	-1.099532e-001
2.687866e+002	-1.148041e-001
2.686956e+002	-1.034854e-001
2.685171e+002	-9.863450e-002
2.680542e+002	-1.148041e-001
2.679413e+002	-1.051023e-001
2.676971e+002	-1.051023e-001
2.674968e+002	-1.018684e-001
2.671432e+002	-1.099532e-001
